Case,CC3,Country,Year,Banking Crisis,Systemic Crisis,Gold Standard,exch_usd,Domestic_Debt_In_Default,"SOVEREIGN EXTERNAL DEBT 1: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom and post-1975 defaults on Official External Creditors","SOVEREIGN EXTERNAL DEBT 2: DEFAULT and RESTRUCTURINGS, 1800-2012--Does not include defaults on WWI debt to United States and United Kingdom but includes post-1975 defaults on Official External Creditors",GDP_Weighted_default,"Inflation, Annual percentages of average consumer prices",Independence,Currency Crises,Inflation Crises
1,DZA,Algeria,1800,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1801,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1802,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1803,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1804,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1805,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1806,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1807,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1808,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1809,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1810,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1811,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1812,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1813,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1814,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1815,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1816,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1817,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1818,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1819,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1820,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1821,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1822,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1823,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1824,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1825,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1826,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1827,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1828,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1829,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1830,0,0,0,,0,0,0,0,,0,0,0
1,DZA,Algeria,1831,0,0,0,0.05168,0,0,0,0,,0,0,0
1,DZA,Algeria,1832,0,0,0,0.053362,0,0,0,0,,0,0,0
1,DZA,Algeria,1833,0,0,0,0.054735,0,0,0,0,,0,0,0
1,DZA,Algeria,1834,0,0,0,0.053706,0,0,0,0,,0,0,0
1,DZA,Algeria,1835,0,0,0,0.052604,0,0,0,0,,0,0,0
1,DZA,Algeria,1836,0,0,0,0.052604,0,0,0,0,,0,0,0
1,DZA,Algeria,1837,0,0,0,0.051361,0,0,0,0,,0,0,0
1,DZA,Algeria,1838,0,0,0,0.0516,0,0,0,0,,0,0,0
1,DZA,Algeria,1839,0,0,0,0.05211,0,0,0,0,,0,0,0
1,DZA,Algeria,1840,0,0,0,0.051733,0,0,0,0,,0,0,0
1,DZA,Algeria,1841,0,0,0,0.052466,0,0,0,0,,0,0,0
1,DZA,Algeria,1842,0,0,0,0.054171,0,0,0,0,,0,0,0
1,DZA,Algeria,1843,0,0,0,0.053248,0,0,0,0,,0,0,0
1,DZA,Algeria,1844,0,0,0,0.052247,0,0,0,0,,0,0,0
1,DZA,Algeria,1845,0,0,0,0.052715,0,0,0,0,,0,0,0
1,DZA,Algeria,1846,0,0,0,0.05385,0,0,0,0,,0,0,0
1,DZA,Algeria,1847,0,0,0,0.052274,0,0,0,0,,0,0,0
1,DZA,Algeria,1848,0,0,0,0.052604,0,0,0,0,,0,0,0
1,DZA,Algeria,1849,0,0,0,0.052604,0,0,0,0,,0,0,0
1,DZA,Algeria,1850,0,0,0,0.051867,0,0,0,0,,0,0,0
1,DZA,Algeria,1851,0,0,0,0.051414,0,0,0,0,,0,0,0
1,DZA,Algeria,1852,0,0,0,0.051308,0,0,0,0,,0,0,0
1,DZA,Algeria,1853,0,0,0,0.051308,0,0,0,0,,0,0,0
1,DZA,Algeria,1854,0,0,0,0.051867,0,0,0,0,,0,0,0
1,DZA,Algeria,1855,0,0,0,0.052002,0,0,0,0,,0,0,0
1,DZA,Algeria,1856,0,0,0,0.051546,0,0,0,0,,0,0,0
1,DZA,Algeria,1857,0,0,0,0.052301,0,0,0,0,,0,0,0
