Code,Label,Country
2200,Developing regions,
4,Developing regions,Afghanistan
12,Developing regions,Algeria
16,Developing regions,American Samoa
24,Developing regions,Angola
660,Developing regions,Anguilla
28,Developing regions,Antigua and Barbuda
32,Developing regions,Argentina
51,Developing regions,Armenia
533,Developing regions,Aruba
31,Developing regions,Azerbaijan
44,Developing regions,Bahamas
48,Developing regions,Bahrain
50,Developing regions,Bangladesh
52,Developing regions,Barbados
84,Developing regions,Belize
204,Developing regions,Benin
64,Developing regions,Bhutan
68,Developing regions,Bolivia
535,Developing regions,"Bonaire, Sint Eustatius and Saba"
72,Developing regions,Botswana
76,Developing regions,Brazil
92,Developing regions,British Virgin Islands
96,Developing regions,Brunei Darussalam
854,Developing regions,Burkina Faso
108,Developing regions,Burundi
132,Developing regions,Cabo Verde
116,Developing regions,Cambodia
120,Developing regions,Cameroon
136,Developing regions,Cayman Islands
140,Developing regions,Central African Republic
148,Developing regions,Chad
152,Developing regions,Chile
156,Developing regions,China
344,Developing regions,"China, Hong Kong SAR"
446,Developing regions,"China, Macao SAR"
158,Developing regions,Taiwan
170,Developing regions,Colombia
174,Developing regions,Comoros
178,Developing regions,Congo
180,Developing regions,"Congo, Dem. Rep. of the"
184,Developing regions,Cook Islands
188,Developing regions,Costa Rica
384,Developing regions,CoteD'Ivoire
192,Developing regions,Cuba
531,Developing regions,Curacao
262,Developing regions,Djibouti
212,Developing regions,Dominica
214,Developing regions,Dominican Republic
218,Developing regions,Ecuador
818,Developing regions,Egypt
222,Developing regions,El Salvador
226,Developing regions,Equatorial Guinea
232,Developing regions,Eritrea
748,Developing regions,Eswatini
231,Developing regions,Ethiopia
230,Developing regions,Ethiopia (...1991)
238,Developing regions,Falkland Islands (Malvinas)
242,Developing regions,Fiji
258,Developing regions,French Polynesia
266,Developing regions,Gabon
270,Developing regions,Gambia
268,Developing regions,Georgia
288,Developing regions,Ghana
308,Developing regions,Grenada
316,Developing regions,Guam
320,Developing regions,Guatemala
324,Developing regions,Guinea
624,Developing regions,Guinea-Bissau
328,Developing regions,Guyana
332,Developing regions,Haiti
